 Enosh, Christopher
 Ryoken, Ryoken
 CrimsonShrike, CrimsonShrike
 WisdomLikeSilence, WisdomLikeSilence
 Space-man_Spiff, Spaceman Spiff
 Kaesedieb, Kaesedieb
 Gem, Gemini
 Stadulator, Stadulator
 Timech, Timech
 Tiggo, Tiggo
 Lonestarr, Lonestarr
 Tbone, Tbone
 Rook," Azix ""Ix"" Jones"
 helios13, Helios 
 Zenduri, Zenduri
 slivver, slivver
 Bah, Bah
 SonOfSam, Sonofsam
 BearSquish, BearSquish
 BOBWIRE71, [CKP] BOBWIRE71
 Anaander, Anaander
 Bacchus_ZA, Bacchus_ZA
 Fjazz, Hiigara
 SOSUS, Arpoovian Shebber-Shenty
 StarPrince_Ko, StarPrince
 Jake_warlord, -Jakethewarlord-
 Ramsey, Ramsey
 JamesKirk40, JohnWayne74
 GeorgeFrancis, George
 Koorah, Koorah
 MKDAWUSS, MKDAWUSS
 Rydak, Rydak
 Zandonisus, Zandonisus
 fikkers, manbearlobster
 5quelch, Squelch
 razgriz_1, Razgriz 1 
 GT500, GT500
 Freem, Freem
 Bacheezi, Bacheezi
 Caedo, Premium Caedo
 civilshadow, Civil
 2late2die, 2late2die
 X1Viper, Entropy
 erudy, rudy
 Cymelion, Cymelion
 CadeStone, CadeStone
 TopBrass, TopBrass
 Ravenhurst, Ravenhurst
 Ashley, Ash
 Skaia, Mage
 Atreus, Atreus
 Nysormo, Nysormo
 ReeKorl, ReeKorl
 Rikaelus, Rikaelus
 Remo, Remo
 Pyremius, Pyremius
 Bronski, Bronski
 SilentFire, Silent Fire
 ShoopDWoop, ShoopDWoop
 Mithrimil, Mithrimil
 Zyrannen, Zyrannen
 Aglais, Tagpfauenauge
 Dink-Meeker, Dink Meeker
 Viper1, Viper 1
 sarkasm0, sarkasm0
 Kristoph_McKane, Kristoph McKane
 SeventySix, 76
 Gamgee, Gamgee
 Leo-Cora, Jun'Tsu
 Dunban, Dunban
 Eric0965, Eric0965
 Saiian, Saiian
 Uhura, Uhura
 Regular_John, DevilDog
 Innox, Inno
 Lotekk, Lotek
 VolantPhoenix, stormingkiwi
 Kaisee, Kaisee Fox
 w_clapsaddle, Angus McBeef
 Wolvy," Capt. Senjen ""Wolvy"" Hawke"
 Kunari801, Kunari801
 Heretic-jib, Heretic_jib
 HydraShock, HydraShock
 Shadowclaw, Coraxxias
 Bartolomeo, Bartolomeo
 Darken, Darken
 Sceptre1, Sceptre
 Potato, Potato
 MysteryJoker, MysteryJoker
 GiConti, Conti
 Davidhen, Davidhen
 EX1L3, Smoke Stack
 Dreygar, Alexander Dreygar
 Wrinyk, Wrinyk
 KBear, KBear
 Director, Director
 Carnelian, Carnelian
 EvilTwinn, EvilTwinn
 NlGHTLORD, NightLord
 ViLSE, ViLSE
 OMERRICA, OMERRICA
 SpaceDude1, OuterSpaced Dude
 SundaeOfDoom, SundaeOfDoom
 LCDR_TommyB, LCDR TommyB
 Doctor_Trav, Traveler
 Spoolin, Epidemic
 Wrought, Wrought
 X71, X71
 Tohkai, Tohkai
 2-TonTwenty-One, 2-Ton Twenty-One
 youknowmyname, youknowmyname
 Apax, Edge
 Electron, Electron
 Colonel_Blackstar, Black Star
 psychic, Cap'n Squishy
 Rathius, Rathius Saranoth
 Z3roCool, Castor Troy
 TemplarK, TemplarK
 Jeff-Vader, Jeff-Vader
 Maul218, Maul218
 rgmarett, Ramon Marett
 beshr, SnapDragon
 Yahnoosh, Yahnoosh Zyn
 Pancreas69, Jhonny Quest
 angelarch, angelarch
 Angel_Cor_Lux, Angel
 Hippias, Hippias
 Scrambled-Legs, Scrambled Legs
 Tsantilas, Tsantilas
 Commander_Llama, Nigel Sheldon
 XanXeno, XanXeno
 Emera1das, Emera1das
 Tacticians, The Tactician
